,year,source,target
0,1986.0,M. S. Gorbachev (1985 - 1991),Australia
1,1986.0,Australia,"Барнард, Марджорі"
2,1977.0,L. I. Brezhnev (1964 - 1982),Australia
3,1977.0,Australia,"Вайт(Уайт), Патрік"
4,1986.0,M. S. Gorbachev (1985 - 1991),Australia
5,1986.0,Australia,"Емері, Джон"
6,1986.0,M. S. Gorbachev (1985 - 1991),Australia
7,1986.0,Australia,"Кейсі, Гевін"
8,1986.0,M. S. Gorbachev (1985 - 1991),Australia
9,1986.0,Australia,"Кері, Пітер"
10,1961.0,N. S. Khrushchev (1953 - 1964),Australia
11,1961.0,Australia,"К’юсак, Дімфна"
12,1961.0,N. S. Khrushchev (1953 - 1964),Australia
13,1961.0,Australia,"К’юсак, Дімфна"
14,1986.0,M. S. Gorbachev (1985 - 1991),Australia
15,1986.0,Australia,"Маршалл, Алан"
16,1959.0,N. S. Khrushchev (1953 - 1964),Australia
17,1959.0,Australia,"Маршалл, Алан"
18,1958.0,N. S. Khrushchev (1953 - 1964),Australia
19,1958.0,Australia,"Моррісон, Джон"
20,1986.0,M. S. Gorbachev (1985 - 1991),Australia
21,1986.0,Australia,"Моррісон, Джон"
22,1991.0,M. S. Gorbachev (1985 - 1991),Australia
23,1991.0,Australia,"Моррісон, Р. Г"
24,1986.0,M. S. Gorbachev (1985 - 1991),Australia
25,1986.0,Australia,"О’Грейді, Десмонд"
26,1986.0,M. S. Gorbachev (1985 - 1991),Australia
27,1986.0,Australia,"Оуклі, Баррі"
28,1986.0,M. S. Gorbachev (1985 - 1991),Australia
29,1986.0,Australia,"Палмер, Венс"
30,1986.0,M. S. Gorbachev (1985 - 1991),Australia
31,1986.0,Australia,"Стайвенс, Дель"
32,1986.0,M. S. Gorbachev (1985 - 1991),Australia
33,1986.0,Australia,"Уотен, Джуда"
34,1986.0,M. S. Gorbachev (1985 - 1991),Australia
35,1986.0,Australia,"Уотен, Джуда"
36,1978.0,L. I. Brezhnev (1964 - 1982),Australia
37,1978.0,Australia,"Філіпсон, Ніл"
38,1960.0,N. S. Khrushchev (1953 - 1964),Australia
39,1960.0,Australia,"Фокс, Лен"
40,1960.0,N. S. Khrushchev (1953 - 1964),Australia
41,1960.0,Australia,"Фокс, Лен"
42,1986.0,M. S. Gorbachev (1985 - 1991),Australia
43,1986.0,Australia,"Форшоу, Тельма"
44,1981.0,L. I. Brezhnev (1964 - 1982),Australia
45,1981.0,Australia,"Шеппард, Тріш"
46,1976.0,L. I. Brezhnev (1964 - 1982),Austria
47,1976.0,Austria,Абрагам А Санта Клара
48,1991.0,M. S. Gorbachev (1985 - 1991),Austria
49,1991.0,Austria,"Бернгард, Томас"
50,1980.0,L. I. Brezhnev (1964 - 1982),Austria
51,1980.0,Austria,"Гандке(Хандке), Петер"
52,1984.0,K. U. Chernenko (1984 - 1985),Austria
53,1984.0,Austria,"Кайн, Франц"
54,1973.0,L. I. Brezhnev (1964 - 1982),Austria
55,1973.0,Austria,"Кайн, Франц"
56,1990.0,M. S. Gorbachev (1985 - 1991),Austria
57,1990.0,Austria,"Каснер, Рудольф"
58,1963.0,N. S. Khrushchev (1953 - 1964),Austria
59,1963.0,Austria,"Кафка, Франц"
60,1963.0,N. S. Khrushchev (1953 - 1964),Austria
